timestamp, ref_phi, ref_theta, ref_psi, ref_x, ref_y, ref_z
1728975648.733923954, 0.0145854, -0.021963, 0, 10.8599, 6.05693, 6.29762
1728975648.735925047, 0.0145854, -0.021963, 0, 10.8599, 6.05693, 6.29762
1728975648.737918765, 0.0145854, -0.021963, 0, 10.8599, 6.05693, 6.29762
1728975648.739921042, 0.0145854, -0.021963, 0, 10.8599, 6.05693, 6.29762
1728975648.741919299, 0.0145854, -0.021963, 0, 10.8599, 6.05693, 6.29762
1728975648.743915292, 0.0145854, -0.021963, 0, 10.8599, 6.05693, 6.29762
1728975648.745913505, 0.0145854, -0.021963, 0, 10.8599, 6.05693, 6.29762
1728975648.747922983, 0.0145854, -0.021963, 0, 10.8599, 6.05693, 6.29762
1728975648.749912958, 0.0145854, -0.021963, 0, 10.8599, 6.05693, 6.29762
1728975648.751934991, 0.0145854, -0.021963, 0, 10.8005, 6.02289, 6.26475
1728975648.753953774, 0.0145854, -0.021963, 0, 10.8005, 6.02289, 6.26475
1728975648.755916504, 0.0145854, -0.021963, 0, 10.8005, 6.02289, 6.26475
1728975648.757911962, 0.0145854, -0.021963, 0, 10.8005, 6.02289, 6.26475
1728975648.759933647, 0.0145854, -0.021963, 0, 10.8005, 6.02289, 6.26475
1728975648.761920208, 0.0109102, -0.0133085, 0, 10.8005, 6.02289, 6.26475
1728975648.763916793, 0.0109102, -0.0133085, 0, 10.8005, 6.02289, 6.26475
1728975648.765918942, 0.0109102, -0.0133085, 0, 10.8005, 6.02289, 6.26475
1728975648.767965836, 0.0109102, -0.0133085, 0, 10.8005, 6.02289, 6.26475
1728975648.769921745, 0.0109102, -0.0133085, 0, 10.8005, 6.02289, 6.26475
1728975648.771935423, 0.0109102, -0.0133085, 0, 10.8005, 6.02289, 6.26475
1728975648.774005459, 0.0109102, -0.0133085, 0, 10.8005, 6.02289, 6.26475
1728975648.775926038, 0.0109102, -0.0133085, 0, 10.8005, 6.02289, 6.26475
1728975648.777942290, 0.0109102, -0.0133085, 0, 10.8005, 6.02289, 6.26475
1728975648.779923551, 0.0109102, -0.0133085, 0, 10.8005, 6.02289, 6.26475
1728975648.781921410, 0.0109102, -0.0133085, 0, 10.8005, 6.02289, 6.26475
1728975648.783916842, 0.0109102, -0.0133085, 0, 10.8005, 6.02289, 6.26475
1728975648.785911276, 0.0109102, -0.0133085, 0, 10.8005, 6.02289, 6.26475
