timestamp, x, y, z, vel_x, vel_y, vel_z, acc_x, acc_y, acc_z, orientation_x, orientation_y, orientation_z, orientation_w, ang_vel_x, ang_vel_y, ang_vel_z
1729840091.050519461, 2.29997e-05, -7.16147e-05, -0.910089, 0.000882566, -0.00275939, -3.43121, 0.441283, -1.3797, -1715.6, 0.00379928, 0.00120443, -1.02981e-08, 0.999992, 0.105278, 0.0324264, -5.7796e-06
1729840091.052516982, 2.48141e-05, -7.7289e-05, -0.916952, 0.000932081, -0.00291565, -3.43145, 0.46604, -1.45782, -1715.73, 0.00390479, 0.0012369, -1.2614e-08, 0.999992, 0.105739, 0.0325083, -6.30346e-06
1729840091.054519607, 2.67292e-05, -8.3281e-05, -0.923815, 0.000983185, -0.00307704, -3.43159, 0.491593, -1.53852, -1715.79, 0.00401074, 0.00126944, -1.52214e-08, 0.999991, 0.106165, 0.0325798, -6.86208e-06
1729840091.056537307, 2.8748e-05, -8.9601e-05, -0.930678, 0.00103589, -0.00324363, -3.43162, 0.517945, -1.62181, -1715.81, 0.0041171, 0.00130205, -1.81509e-08, 0.999991, 0.106557, 0.0326409, -7.45513e-06
1729840091.058578147, 3.08739e-05, -9.62593e-05, -0.937541, 0.00109021, -0.00341545, -3.43155, 0.545103, -1.70772, -1715.77, 0.00422384, 0.00133472, -2.14331e-08, 0.99999, 0.106915, 0.0326917, -8.08225e-06
1729840091.060520978, 3.311e-05, -0.000103267, -0.944404, 0.00114614, -0.00359254, -3.43137, 0.573072, -1.79627, -1715.69, 0.00433091, 0.00136743, -2.5098e-08, 0.99999, 0.107239, 0.0327325, -8.74311e-06
1729840091.062513129, 3.54597e-05, -0.000110633, -0.951266, 0.00120371, -0.00377495, -3.4311, 0.601856, -1.88747, -1715.55, 0.0044383, 0.00140018, -2.91753e-08, 0.999989, 0.107529, 0.0327632, -9.43736e-06
1729840091.064517473, 3.79261e-05, -0.00011837, -0.958128, 0.00126292, -0.0039627, -3.43073, 0.63146, -1.98135, -1715.36, 0.00454595, 0.00143295, -3.36981e-08, 0.999989, 0.107785, 0.0327836, -1.01714e-05
1729840091.066511903, 4.05125e-05, -0.000126488, -0.964989, 0.00132378, -0.00415584, -3.43026, 0.661888, -2.07792, -1715.13, 0.00465385, 0.00146574, -3.87026e-08, 0.999988, 0.108006, 0.0327939, -1.09449e-05
1729840091.068509628, 4.32224e-05, -0.000134997, -0.971849, 0.00138628, -0.0043544, -3.4297, 0.693142, -2.1772, -1714.85, 0.00476194, 0.00149853, -4.42249e-08, 0.999988, 0.108194, 0.0327942, -1.17574e-05
1729840091.070527306, 4.60589e-05, -0.00014391, -0.978708, 0.00145046, -0.0045584, -3.42905, 0.725228, -2.2792, -1714.52, 0.00487021, 0.00153132, -5.03005e-08, 0.999987, 0.108348, 0.0327845, -1.26085e-05
1729840091.072511159, 4.90254e-05, -0.000153235, -0.985565, 0.00151629, -0.00476788, -3.4283, 0.758147, -2.38394, -1714.15, 0.00497862, 0.0015641, -5.69645e-08, 0.999986, 0.108469, 0.032765, -1.34979e-05
1729840091.074532095, 5.21253e-05, -0.000162985, -0.992421, 0.0015838, -0.00498286, -3.42747, 0.791902, -2.49143, -1713.73, 0.00508713, 0.00159684, -6.42556e-08, 0.999986, 0.108556, 0.0327354, -1.44319e-05
1729840091.076520938, 5.53618e-05, -0.00017317, -0.999275, 0.00165299, -0.00520337, -3.42655, 0.826496, -2.60169, -1713.27, 0.00519571, 0.00162956, -7.22153e-08, 0.999985, 0.108609, 0.032696, -1.541e-05
1729840091.078510250, 5.87384e-05, -0.000183802, -1.00613, 0.00172386, -0.00542943, -3.42555, 0.861931, -2.71471, -1712.77, 0.00530433, 0.00166223, -8.08849e-08, 0.999985, 0.108629, 0.0326467, -1.64319e-05
1729840091.080509313, 6.22585e-05, -0.000194892, -1.01298, 0.00179641, -0.00566105, -3.42446, 0.898207, -2.83052, -1712.23, 0.00541295, 0.00169485, -9.03053e-08, 0.999984, 0.108615, 0.0325877, -1.74971e-05
1729840091.082512079, 6.59253e-05, -0.000206451, -1.01982, 0.00187065, -0.00589825, -3.42329, 0.935327, -2.94913, -1711.64, 0.00552154, 0.0017274, -1.00517e-07, 0.999983, 0.10857, 0.032519, -1.86051e-05
1729840091.084516696, 6.97423e-05, -0.000218489, -1.02667, 0.00194658, -0.00614106, -3.42204, 0.973292, -3.07053, -1711.02, 0.00563007, 0.00175988, -1.11563e-07, 0.999983, 0.10849, 0.0324407, -1.97619e-05
1729840091.086508911, 7.37129e-05, -0.000231019, -1.03351, 0.0020242, -0.00638947, -3.42071, 1.0121, -3.19474, -1710.35, 0.0057385, 0.00179228, -1.23491e-07, 0.999982, 0.108378, 0.0323527, -2.09671e-05
1729840091.088509610, 7.78403e-05, -0.000244051, -1.04035, 0.00210351, -0.00664351, -3.4193, 1.05176, -3.32176, -1709.65, 0.0058468, 0.00182458, -1.36346e-07, 0.999981, 0.108233, 0.0322552, -2.22202e-05
1729840091.090526885, 8.21281e-05, -0.000257597, -1.04719, 0.00218451, -0.00690318, -3.41782, 1.09226, -3.45159, -1708.91, 0.00595495, 0.00185678, -1.50174e-07, 0.999981, 0.108056, 0.0321483, -2.35207e-05
1729840091.092517240, 8.65796e-05, -0.000271668, -1.05402, 0.0022672, -0.00716849, -3.41626, 1.1336, -3.58425, -1708.13, 0.0060629, 0.00188887, -1.6502e-07, 0.99998, 0.107847, 0.0320321, -2.48682e-05
1729840091.094520879, 9.11982e-05, -0.000286275, -1.06086, 0.00235158, -0.00743945, -3.41463, 1.17579, -3.71972, -1707.32, 0.00617065, 0.00192084, -1.80917e-07, 0.999979, 0.107663, 0.0319196, -2.6268e-05
1729840091.096523982, 9.59871e-05, -0.00030143, -1.06768, 0.00243765, -0.00771605, -3.41293, 1.21882, -3.85802, -1706.47, 0.00627823, 0.00195271, -1.97887e-07, 0.999978, 0.107504, 0.0318109, -2.77196e-05
1729840091.098538208, 0.00010095, -0.000317143, -1.07451, 0.0025254, -0.0079983, -3.41116, 1.2627, -3.99915, -1705.58, 0.00638567, 0.00198447, -2.1595e-07, 0.999978, 0.10737, 0.031706, -2.92226e-05
1729840091.100515742, 0.00010609, -0.000333427, -1.08133, 0.00261484, -0.00828622, -3.40932, 1.30742, -4.14311, -1704.66, 0.00649298, 0.00201612, -2.35125e-07, 0.999977, 0.10726, 0.0316047, -3.07764e-05
1729840091.102516184, 0.000111411, -0.000350292, -1.08814, 0.00270596, -0.0085798, -3.40742, 1.35298, -4.2899, -1703.71, 0.00660019, 0.00204768, -2.5543e-07, 0.999976, 0.107175, 0.0315071, -3.23805e-05
1729840091.104518234, 0.000116915, -0.00036775, -1.09496, 0.00279876, -0.00887905, -3.40544, 1.39938, -4.43953, -1702.72, 0.00670731, 0.00207913, -2.76901e-07, 0.999975, 0.107056, 0.0314002, -3.40398e-05
1729840091.106544950, 0.000122607, -0.000385813, -1.10177, 0.00289324, -0.00918398, -3.40341, 1.44662, -4.59199, -1701.7, 0.00681428, 0.00211047, -2.9959e-07, 0.999975, 0.106905, 0.031284, -3.57535e-05
